Ticker,Direction,Operation,Leadership,Externality,Valuation
SKHY,Watch,3 (⚠身份待确认(疑 SK Hynix/存储);若存储:AI 内存强、capex 重),0 (⚠身份未确认),1 (⚠若内存:寡头格局好+周期顺风),0 (⚠需确认身份+当前数据)
MU,Long,"3 (GM 85% +5;capex $27b→FY27 mid-$40B, 过半建厂 -1;HBM 客户集中(NVDA/cloud) -1)",0 (unknown),0 (ai bubble -0;美国产 +1；台湾地缘风险 -1),1 ()
SNDK,Long,4 (FY26 rev $20B +175%、datacenter $12B、Q3 +251% +3;GM 71.5%(NAND 短缺+LTA)+2;零债务+$6B 回购+100% 余现返还 +2;capex 重(BiCS8)+GM 周期峰 -3),0 (),1 (NAND 结构性短缺+AI datacenter 需求爆发(成最大 NAND 段)+2;+Kioxia JV(共用日本 Yokkaichi/Kitakami fab、合计~25%=#2 platform)+1;但 NAND 6 玩家分散(三星29/SK+Solidigm18/美光15/Kioxia14/SanDisk11)护城河弱于 DRAM -1;SanDisk 份额掉13.9→11.4%+中国 YMTC 出货超 Kioxia -1),"-1 (P/E 20.8 但为 NAND 周期峰盈利;分拆后~40×;$1,546 已核实(mktcap $227B))"
HOOD,Long,4 (Q2 rev $1.31B(+32%)、GAAP OM 43.9%/净利$573M +3;13 业务线过$100M、去 crypto 化(crypto 8%、−38%)+2;轻资产+回购+SBC 仅$105M/8%(偏低)+1;仍受交易量/风险偏好顺周期 -2),3 (Tenev 创始人、产品创新极快(预测市场10x/futures/index options/tokenization/Legend)=adaptability 顶级 +3;高 alignment +1;2021 GME 停牌+PFOF/监管旧账 -1),-1 (散户经纪领先年轻用户+多元化 +1;竞争(Schwab/Coinbase/Webull)-1;顺周期(交易量/风险偏好/利率)+PFOF/预测市场监管灰色 -1),-1 (跑幅大;对交易量/风险偏好顺周期;需核当前 P/E)
COHR,Watch,3 (FY26 rev $7.12B +23%(首破$70亿)、Q4 $2.05B +34%(pro forma +42%)、环比加速 1.58→1.69→1.81→2.05 +3;非GAAP GM 40.2%(+215bp)/op inc $446M +62%/EPS $1.74 +74% +2;去杠杆完成 net lev 2.0→0.7x(FY26 还债$513M+卖A&D $400M)、现金$3B、$4.1B 并购债已消化 +3;datacenter capex 暴增 Q4 $556M(去年$131M)、~18mo 回本、near-term FCF 承压 -2;GAAP 净利率仅 11.8%、光模块 GM 结构性偏低 -1),3 (Jim Anderson 2024-06 上任、前 Lattice CEO(2018-24 经典 turnaround)=顶级运营者 +3;两年内 speed-to-market 聚焦 AI datacenter+剪枝(卖 A&D $400M/SiC 变现)+去杠杆+拿下 NVIDIA=执行强 +2;职业经理人非创始、上任仅两年、持股 alignment 一般 -1),2 (AI 光互联超级周期 800G→1.6T、Datacenter&Comms 占 Q4 79%/+59% YoY=踩最强 secular +2;NVIDIA 战略入股$2B+多年数十亿采购承诺+产能权(2026-03)=需求锚+背书 +2;InP 铟磷激光垂直整合(自有 fab)=真护城河 +1;份额被超:InnoLight #1~27%、Eoptolink 2025 冲$3.5B(+189%)升#2 反超 COHR(~17%)、中系低价 20-25%/供~2/3 出货 -2;客户集中(datacom 79%+NVDA 锚)+AI capex 顺周期、消化即大回撤 -2;FCC 拟禁中系 transceiver=非对称利好 +1),-2 (trailing P/E 68(GAAP)/P/B 5.1/mktcap $55B;fwd 非GAAP EPS 年化~$8→fwd P/E ~34x、增长下不算离谱 -1;52wk 低$94.55(2025-09)→高$440(2026-06)→现~$270=3x off low/-40% off high、高 beta 情绪驱动、GF Value 标 ~300% 高估 -2;计价 AI 光通信持续超增、perfection priced -1)
GOOG,Watch,"2 (搜索/广告现金牛+净现金;巨额 AI capex、回购暂停,或拖累 FCF)","1 (双创始人控盘+技术深厚,但 Gemini 上 AI 适应偏被动;反垄断/政府摩擦)","2 (搜索垄断+云三强+AI 全栈,但反垄断风险)",1 (巨头里估值相对合理+AI 期权价值)
NVDA,Watch,4 (净现金+巨额 FCF、资产负债表极强;大额回购;轻晶圆(台积代工)),4 (黄仁勋创始人掌舵、路线图执行顶级、高持股 alignment、适应力强),2 (AI 芯片垂直整合+CUDA 护城河;但 AI capex 绝对值过大、本身成 macro 风险),-1 (超大市值+周期属性;极高增长预期未完全计价)
CCL,Long,4 (Q2 rev 记录 $6.7B 同比 +5.3%、net yields +2%(连续12季度增长)、客户存款史高 $9B;去杠杆到位:net debt/EBITDA 3.4→3.1x、Fitch 投资级、$19B 再融资一年内完成、利率降至 4.6%、恢复分红),2 (Weinstein 职业经理人、turnaround 执行强(达投资级/复股息/$19B 再融资)+3;Arison 家族控盘 ~44% 股/~33% 投票权、Micky 任主席=长期 alignment +1;巴拿马注册+方便旗避 US 税/监管(政府关系弱、政治靶子)-1;无燃油对冲 -1),-1 (燃料成本 ±10% → CCL 净利 ±$145M -1;指引假设$90/桶; 利率只影响需求不影响发债 -0；需求强(booking 史上最长、2027>PY)+双寡头(CCL+RCL 62%)，但有追赶者 -0),1 (forward PE < 10)
RKLB,Long,-2 (rev +62%($234M)、GM 41.5% +2;Space Systems 多元 +1;FCF -$110M/季、2028前难转正 -2;股数+20%/年 -2;未来预计稀释15% -1),4 (Beck 创始人+Electron 50+ 发射 +2;美国国防关系深(SDA>$1.3B、NSSL上限$17B、HASTE) +2;欧洲 RL Germany/NZ本土 +1;创始人~10%但近期减持$286M +0;Neutron 反复跳票 -1),2 (商业+国防航天结构性高增、backlog $2.36B/90+任务 +2;SpaceX 之下第二梯队领先 +1;SpaceX绝对主导+成长股利率敏感 -1;散户 ~40-45% -0),-2 ()
AMD,Watch,2 (EPYC 抢 Intel 份额+MI 放量;资产负债表干净/低杠杆/FCF 正;大额回购但 SBC 稀释偏高),3 (Lisa Su 执行力/turnaround 杰出、信誉高、适应力强),"2 (AI 加速器需求强但 NVDA 主导+云 ASIC 蚕食,竞争位第二、两头受压)",0 (★高倍数已计入激进 AI GPU 份额假设——做空核心)
